,1029TH-level-stage-i-15_min-mASD,1029TH-level-downstage-i-15_min-mASD
0,0.064,-0.451
1,0.065,-0.451
2,0.065,-0.45
3,0.064,-0.45
4,0.065,-0.45
5,0.065,-0.45
6,0.064,-0.45
7,0.064,-0.452
8,0.064,-0.452
9,0.064,-0.452
10,0.065,-0.45
11,0.065,-0.45
12,0.065,-0.45
13,0.064,-0.452
14,0.064,-0.452
15,0.064,-0.453
16,0.064,-0.452
17,0.065,-0.45
18,0.065,-0.449
19,0.065,-0.449
20,0.065,-0.449
21,0.065,-0.45
22,0.065,-0.45
23,0.065,-0.448
24,0.066,-0.448
25,0.066,-0.447
26,0.066,-0.446
27,0.067,-0.444
28,0.068,-0.442
29,0.068,-0.44
30,0.069,-0.439
31,0.07,-0.436
32,0.071,-0.434
33,0.07,-0.433
34,0.07,-0.433
35,0.071,-0.435
36,0.07,-0.434
37,0.069,-0.436
38,0.068,-0.436
39,0.07,-0.436
40,0.068,-0.436
41,0.068,-0.436
42,0.066,-0.437
43,0.07,-0.437
44,0.069,-0.44
45,0.069,-0.438
46,0.065,-0.439
47,0.067,-0.439
48,0.069,-0.438
49,0.07,-0.438
50,0.07,-0.437
51,0.072,-0.437
52,0.071,-0.437
53,0.07,-0.439
54,0.069,-0.44
55,0.066,-0.439
56,0.069,-0.439
57,0.07,-0.437
58,0.067,-0.439
59,0.069,-0.44
60,0.069,-0.441
61,0.068,-0.442
62,0.064,-0.446
63,0.067,-0.445
64,0.065,-0.446
65,0.067,-0.447
66,0.065,-0.449
67,0.066,-0.449
68,0.067,-0.446
69,0.068,-0.445
70,0.067,-0.445
71,0.068,-0.444
72,0.068,-0.442
73,0.068,-0.44
74,0.071,-0.439
75,0.07,-0.439
76,0.07,-0.439
77,0.071,-0.438
78,0.07,-0.438
79,0.07,-0.437
80,0.07,-0.437
81,0.07,-0.438
82,0.07,-0.44
83,0.069,-0.44
84,0.069,-0.441
